"Subject"	"Bin"	"Electrode"	"Condition"	"MeanAmp"	"Race"	"Fix"
1	4	"PZ"	"White_eyes"	8.55236053921569	"White"	"eyes"
1	4	"C3"	"White_eyes"	5.07160416666667	"White"	"eyes"
1	4	"C4"	"White_eyes"	5.28758137254902	"White"	"eyes"
1	4	"CP3"	"White_eyes"	5.81045661764706	"White"	"eyes"
1	4	"CP4"	"White_eyes"	7.80898235294118	"White"	"eyes"
1	5	"CZ"	"White_eyes"	6.99319975490196	"White"	"eyes"
1	5	"CPZ"	"White_eyes"	6.36994534313726	"White"	"eyes"
1	5	"PZ"	"White_eyes"	7.07753431372549	"White"	"eyes"
1	5	"C3"	"White_eyes"	7.92252769607843	"White"	"eyes"
1	5	"C4"	"White_eyes"	4.77416764705882	"White"	"eyes"
1	5	"CP3"	"White_eyes"	6.34937549019608	"White"	"eyes"
1	5	"CP4"	"White_eyes"	4.32616421568627	"White"	"eyes"
1	6	"CZ"	"White_eyes"	11.5888223039216	"White"	"eyes"
1	6	"CPZ"	"White_eyes"	13.6408323529412	"White"	"eyes"
1	6	"PZ"	"White_eyes"	13.2010588235294	"White"	"eyes"
1	6	"C3"	"White_eyes"	10.9162051470588	"White"	"eyes"
1	6	"C4"	"White_eyes"	10.3941504901961	"White"	"eyes"
1	6	"CP3"	"White_eyes"	13.2031125	"White"	"eyes"
1	6	"CP4"	"White_eyes"	11.5390475490196	"White"	"eyes"
1	7	"CZ"	"White_eyes"	7.55721225490196	"White"	"eyes"
1	7	"CPZ"	"White_eyes"	7.08493970588235	"White"	"eyes"
1	7	"PZ"	"White_eyes"	7.43091740196078	"White"	"eyes"
1	7	"C3"	"White_eyes"	7.65759485294118	"White"	"eyes"
1	7	"C4"	"White_eyes"	6.9467125	"White"	"eyes"
1	7	"CP3"	"White_eyes"	9.27064779411765	"White"	"eyes"
1	7	"CP4"	"White_eyes"	8.38410245098039	"White"	"eyes"
1	8	"CZ"	"White_eyes"	7.79828970588235	"White"	"eyes"
1	8	"CPZ"	"White_eyes"	7.28981225490196	"White"	"eyes"
1	8	"PZ"	"White_eyes"	7.86781323529412	"White"	"eyes"
1	8	"C3"	"White_eyes"	6.80355147058824	"White"	"eyes"
1	8	"C4"	"White_eyes"	4.94365833333333	"White"	"eyes"
1	8	"CP3"	"White_eyes"	4.89799803921569	"White"	"eyes"
1	8	"CP4"	"White_eyes"	4.8321737745098	"White"	"eyes"
1	9	"CZ"	"White_eyes"	8.27138529411765	"White"	"eyes"
1	9	"CPZ"	"White_eyes"	11.4037004901961	"White"	"eyes"
1	9	"PZ"	"White_eyes"	11.6316066176471	"White"	"eyes"
1	9	"C3"	"White_eyes"	8.33268014705882	"White"	"eyes"
1	9	"C4"	"White_eyes"	8.60872475490196	"White"	"eyes"
1	9	"CP3"	"White_eyes"	4.68818921568627	"White"	"eyes"
1	9	"CP4"	"White_eyes"	11.5801835784314	"White"	"eyes"
1	10	"CZ"	"White_eyes"	-1.89526985294118	"White"	"eyes"
1	10	"CPZ"	"White_eyes"	0.289205637254902	"White"	"eyes"
1	10	"PZ"	"White_eyes"	3.96907794117647	"White"	"eyes"
1	10	"C3"	"White_eyes"	0.44553137254902	"White"	"eyes"
1	10	"C4"	"White_eyes"	-2.45969534313726	"White"	"eyes"
1	10	"CP3"	"White_eyes"	1.31644411764706	"White"	"eyes"
1	10	"CP4"	"White_eyes"	0.505597058823529	"White"	"eyes"
1	11	"CZ"	"White_eyes"	0.57183112745098	"White"	"eyes"
1	11	"CPZ"	"White_eyes"	3.74775049019608	"White"	"eyes"
1	11	"PZ"	"White_eyes"	4.58862990196078	"White"	"eyes"
1	11	"C3"	"White_eyes"	-0.0962659313725491	"White"	"eyes"
1	11	"C4"	"White_eyes"	1.92118259803922	"White"	"eyes"
1	11	"CP3"	"White_eyes"	-1.12308970588235	"White"	"eyes"
1	11	"CP4"	"White_eyes"	2.24124632352941	"White"	"eyes"
1	12	"CZ"	"White_eyes"	-0.147279901960784	"White"	"eyes"
1	12	"CPZ"	"White_eyes"	-2.25688088235294	"White"	"eyes"
1	12	"PZ"	"White_eyes"	-1.65172745098039	"White"	"eyes"
1	12	"C3"	"White_eyes"	-0.251770833333333	"White"	"eyes"
1	12	"C4"	"White_eyes"	0.032498774509804	"White"	"eyes"
1	12	"CP3"	"White_eyes"	-3.47006495098039	"White"	"eyes"
1	12	"CP4"	"White_eyes"	0.271517156862745	"White"	"eyes"
1	13	"CZ"	"White_eyes"	5.08024362745098	"White"	"eyes"
1	13	"CPZ"	"White_eyes"	6.85826715686274	"White"	"eyes"
1	13	"PZ"	"White_eyes"	8.86625343137255	"White"	"eyes"
1	13	"C3"	"White_eyes"	3.98389362745098	"White"	"eyes"
1	13	"C4"	"White_eyes"	7.01253651960784	"White"	"eyes"
1	13	"CP3"	"White_eyes"	4.53062769607843	"White"	"eyes"
